feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,avg_rank,top10_count
F3bandwidth_sma3nz_stddevNorm,55,0.1616483499417288,0.6894281893872249,16,0.9941669978754434,0.3776781961539469,83,0.1918908945020368,0.9413997425428768,51.33,0
mfcc2V_sma3nz_amean,54,0.1708021800041555,0.6812404287848253,81,0.0838221481255629,0.9197319500311726,30,0.7564180094500351,0.5591135322212983,55.0,0
mfcc1V_sma3nz_stddevNorm,57,0.1297640847801028,0.7202570818465484,57,0.2902010954218399,0.7494438599341164,58,0.4172813149701259,0.7952848002047863,57.33,0
slopeUV500-1500_sma3nz_amean,41,0.3802412706530743,0.5403879514033094,73,0.1887005251939295,0.8286586730796741,59,0.4106423211866001,0.800021883958978,57.67,0
loudness_sma3_amean,48,0.2400367125350672,0.6264115055379693,68,0.2209454769455953,0.8025883921079885,57,0.4177393492364449,0.7949576241169527,57.67,0
mfcc3_sma3_stddevNorm,87,6.828883516278358e-05,0.993440842171613,49,0.3329178683147982,0.7185056360307842,39,0.5876745761676765,0.6732224748467902,58.33,0
mfcc2_sma3_amean,65,0.0843046661253483,0.772797217824019,80,0.0918657481174253,0.9123909981011344,36,0.6479116589608812,0.6312777618382909,60.33,0
mfcc3V_sma3nz_amean,70,0.0616719173264101,0.8049320766480896,50,0.3292883873251018,0.7210818138443525,62,0.3975493894944285,0.8093321067213521,60.67,0
F2bandwidth_sma3nz_amean,43,0.3453299768832687,0.559523237611298,66,0.2308765576848825,0.7947324163265408,75,0.2776564363254949,0.890892875874179,61.33,0
loudnessPeaksPerSec,85,0.00018775450673,0.989124240715246,82,0.0804428773094013,0.922834369432066,21,0.9155830289790196,0.4631632170683653,62.67,0
loudness_sma3_percentile80.0,59,0.1239688173519288,0.7263104036392677,63,0.2497174394303805,0.7800478762639296,68,0.3715443166087678,0.8276657942963455,63.33,0
mfcc3V_sma3nz_stddevNorm,79,0.027970861168963,0.8678799571740784,60,0.2735498078892265,0.7618771632885905,51,0.4464410167056793,0.7743829202025034,63.33,0
mfcc3_sma3_amean,68,0.0751805777298232,0.7851146016193157,71,0.2112689071906224,0.8103209383638534,52,0.4443875455036731,0.7758588036767076,63.67,0
F2amplitudeLogRelF0_sma3nz_stddevNorm,45,0.3112181894696396,0.579526375870251,69,0.2194685049720276,0.8037636476240273,82,0.20585464215434,0.9338485862015876,65.33,0
loudness_sma3_percentile50.0,64,0.0854524667970662,0.7712998797978294,78,0.1022977749295194,0.9029611380950316,54,0.4246032493224179,0.7900496370704927,65.33,0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,80,0.0212295530880906,0.8847655023856124,43,0.3645869208010329,0.6964302225297208,84,0.1799740971006989,0.9475940999062146,69.0,0
F0semitoneFrom27.5Hz_sma3nz_amean,66,0.083595101084802,0.7737284081492585,74,0.1705608573046914,0.8437113220219872,71,0.3589229942364619,0.8364692472415272,70.33,0
