file,winner,F1,F2,F3,edit
25DM30Y18_mono_0159,3,3,3,3,0
25DM30Y18_mono_0160,3,3,3,3,0
25DM30Y18_mono_0161,1,1,1,1,0
25DM30Y18_mono_0162,1,1,1,1,0
25DM30Y18_mono_0163,2,2,2,2,0
25DM30Y18_mono_0164,3,3,3,3,0
25DM30Y18_mono_0165,6,6,6,6,0
25DM30Y18_mono_0166,2,2,2,2,0
25DM30Y18_mono_0167,3,3,3,3,0
25DM30Y18_mono_0168,6,6,6,6,0
25DM30Y18_mono_0169,5,5,5,5,0
25DM30Y18_mono_0170,4,4,4,4,0
25DM30Y18_mono_0171,3,3,3,3,0
25DM30Y18_mono_0172,7,7,7,7,0
25DM30Y18_mono_0173,2,2,2,2,0
25DM30Y18_mono_0174,2,2,2,2,0
25DM30Y18_mono_0175,4,4,4,4,0
25DM30Y18_mono_0176,7,7,7,7,0
25DM30Y18_mono_0177,3,3,3,3,0
25DM30Y18_mono_0178,3,3,3,3,0
25DM30Y18_mono_0179,1,1,1,1,0
25DM30Y18_mono_0180,4,4,4,4,0
25DM30Y18_mono_0181,5,5,5,5,0
25DM30Y18_mono_0182,3,3,3,3,0
25DM30Y18_mono_0183,6,6,6,6,0
25DM30Y18_mono_0184,2,2,2,2,0
25DM30Y18_mono_0185,3,3,3,3,0
25DM30Y18_mono_0186,2,2,2,2,0
25DM30Y18_mono_0187,5,5,5,5,0
25DM30Y18_mono_0188,6,6,6,6,0
25DM30Y18_mono_0189,6,6,6,6,0
25DM30Y18_mono_0190,2,2,2,2,0
25DM30Y18_mono_0191,5,5,5,5,0
25DM30Y18_mono_0192,2,2,2,2,0
