e1,e2,e3,e4,e5,e6,e7,e8
10372.1,10607.9,541.3,229.1,135.2,169.2,181.9,181.4
10067.9,64.6,245.8,55.8,57.6,87.7,57.7,98.3
57.8,71.2,88.2,107.2,158,448.2,554.5,506.1
276.2,604,290.4,111.8,109,125.9,700.5,642.3
137.1,229.4,210,165.1,135.8,134.5,134,169.2
10646.7,493.9,157.9,195.9,135.3,281.2,266.1,244.8
10171.9,10308,52.2,60.5,42.3,39.9,53.3,75.9
106.9,106.8,413.8,71.4,97,82.3,120,190
10168,10262.5,220,39.5,47.2,46.2,72.9,88.9
616.5,10401.4,39.6,42.6,50.6,82.2,100.9,139
10494.6,228.7,51.4,102.5,161.3,169.6,184.6,109.7
417.6,488,530.4,113.2,101.2,101.2,128.4,125.7
10041.2,40.5,90,67.3,59.9,21.3,24.3,23
10073.8,169.7,321.2,207.3,382.1,40,57.7,49
10154.6,113.7,192.2,169.7,68.2,65,60.5,64.8
10207.1,10563.7,130.9,364.8,224.8,146.7,147.2,129.8
10143.9,340.4,254.7,346.2,216,131.7,131.5,126
376.1,205,187.7,194.8,198.4,294.8,445.5,395
10130,326.4,236.2,178.3,83,150.9,172.9,155.8
82.3,519.2,741.5,163.4,204.4,202.1,262.8,280.3
494.3,708.1,517.7,80.4,88.8,135.7,198.4,508.6
192,214.7,279.2,461.9,191.9,244.6,352.2,373.2
180.5,480.6,177,65,79,94,100.2,181
10146.6,104.5,98,136.8,113.2,130.2,98.8,130.1
10542.8,219.3,253,210.2,208.2,212.1,236.2,381.6
10039.7,20.7,24.8,28.4,27.6,53.5,72.9,95.1
202.2,305,171.1,176.5,124.4,146.9,140.6,115.5
10386.2,349.9,161.7,259.9,222.5,94.2,152.3,166.2
10672.3,59.2,115.8,124.4,135.1,347.8,251,225.6
510.2,608.1,249,79,75.7,150.9,203.1,259.3
682.4,65.8,284.9,202.2,240,244.3,283.4,282.2
166.9,119,342.1,211.5,307.9,52,48.8,121.7
10434.8,596,149.3,159.4,158.5,348.3,379.5,386.3
10060.4,84.1,133.2,92.5,61.2,19.3,22.1,22.6
10378.2,10589.3,65.9,217.4,77.5,88.1,111.2,132.9
