file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
LA,19.7116,21.4173,LA,-47.96145148026316,,,16.300012892190217
LA,21.9194,23.2152,LA,-48.28525015024039,,,10.411187731456707
LA,23.2152,24.987,LA,-46.84106307379943,,,17.821928930241974
LA,25.6481,27.1819,LA,-47.32730800653595,,,19.761365095922503
LA,27.4258,28.986,LA,-51.10572541065705,,,17.002069171168927
LA,29.5678,32.1859,LA,-51.94440675691794,,,12.905495881071303
LA,32.5721,35.3885,LA,-43.24320215536348,,,19.582236649281917
LA,35.6529,37.1206,LA,-49.70365314094388,,,12.465197180433687
LA,37.5569,38.8131,LA,-45.99511331225198,,,21.77557984829825
LA,38.9884,40.6677,LA,-45.87794712611607,,,11.212836234446938
LA,40.747,42.2808,LA,-46.3300270629085,,,17.83109366418234
LA,42.7436,43.299,LA,-48.017408098493306,,,18.619392908864114
LA,43.5502,44.8592,LA,-49.61355707299618,,,13.912144918019576
WT,0.0,1.3083,WT,-54.24806551168893,,,19.65666412735199
WT,1.3083,3.1149,WT,-56.141488259668506,,,8.899744475877878
WT,3.425,4.3148,WT,-48.711305082514045,,,16.293596621795224
WT,4.7327,7.1865,WT,-54.26216119260204,,,25.422746412256416
WT,7.1865,8.656,WT,-52.557544111394556,,,16.342919697711608
WT,9.1554,10.6115,WT,-48.76232408497432,,,67.0753617192941
WT,10.6789,12.863,WT,-49.87173881880734,,,24.401957845781276
WT,13.3566,15.689,WT,-53.18594923551502,,,45.62233869190477
WT,15.689,17.0777,WT,-57.051743761241006,,,23.95624313709223
WT,17.6305,19.464,WT,-53.02275443989071,,,10.052270954822287
WT,19.5584,21.4324,WT,-59.24955610795455,,,13.94228621277764
WT,22.0356,24.9477,WT,-51.949037532216494,,,13.49283119271954
WT,25.2612,26.9464,WT,-54.586729151257394,,,11.22741405116021
WT,26.9599,28.753,WT,-54.421738608589386,,,11.715831749600362
WT,29.4657,29.8028,WT,-54.95129035500919,,,14.324159415957112
WT,30.2072,32.8632,WT,-58.81027519971804,,,4.189582204291256
WT,33.2812,35.8967,WT,-54.7779960341126,,,12.747651815020879
WT,36.3801,38.5777,WT,-61.99326171875,,,16.23249476873405
WT,38.9147,40.4786,WT,-52.02103052383814,,,31.145403977081383
WT,40.4786,42.7167,WT,-55.525521414620535,,,11.357418566946121
WT,43.1885,43.7952,WT,-48.75193711577869,,,17.051758546747692
WT,44.0514,45.5209,WT,-55.01123711203231,,,14.773528742284023
LQ,0.4156,2.1392,LQ,-44.20904682957849,,,12.690928393359009
LQ,2.1895,4.4037,LQ,-44.45094651442308,,,18.44542707801113
LQ,4.5043,5.5736,LQ,-48.193756388726634,,,10.492051115689438
LQ,6.3311,8.1553,LQ,-47.212193080357146,,,20.74866262734564
LQ,8.1553,10.9733,LQ,-47.4938670489805,,,14.375280004762601
LQ,11.6411,14.1824,LQ,-47.09536863312008,,,21.833263806571196
LQ,14.1824,15.8179,LQ,-47.05225502572409,,,17.383846601368756
LQ,16.6884,19.3177,LQ,-45.82904215185361,,,22.0839588429208
LQ,19.3177,20.1858,LQ,-47.410246048850574,,,14.826190617922773
LQ,20.6324,22.9095,LQ,-46.32807788514254,,,15.526654434931293
LQ,22.9835,24.7069,LQ,-48.25596725109012,,,15.491483722101743
LQ,25.5052,26.8737,LQ,-48.9346629790146,,,8.4438640225032
LQ,26.8737,28.8186,LQ,-42.581089924291234,,,17.276579712437226
LQ,29.0594,31.3909,LQ,-47.71833506571888,,,13.167037056557461
LQ,31.4919,33.7981,LQ,-52.143005106872295,,,21.08943358686638
LQ,34.5838,36.8266,LQ,-46.9114990234375,,,17.20406644849927
LQ,36.8266,37.9354,LQ,-47.85210356841216,,,16.60435891362707
LQ,38.4423,41.0399,LQ,-44.63683894230769,,,19.574979786491443
LQ,41.5091,43.7393,LQ,-46.28614595011211,,,17.4522363558683
LQ,44.5123,46.6791,LQ,-43.922811059907836,,,12.326070394468243
LQ,46.6791,49.0435,LQ,-45.906907938294495,,,16.911805069456204
LQ,49.6644,50.6275,LQ,-51.03044128417969,,,16.556093724409013
LQ,50.9442,51.7045,LQ,-45.259004291735195,,,18.224521443023832
LQ,51.8566,52.5789,LQ,-46.86017862955729,,,11.787038780813694
JC,0.0733,0.7895,JC,-47.0804443359375,,,14.830746859779318
JC,1.0929,3.9455,JC,-47.09565515350877,,,28.608087484208486
JC,4.4431,5.2564,JC,-48.74514130015432,,,28.134074913879502
JC,6.2226,7.8492,JC,-51.40480612538344,,,18.739474771282964
JC,7.8987,10.1201,JC,-49.261956292229726,,,14.34308412099743
JC,10.9212,11.686,JC,-50.10225958573191,,,29.96822861941881
JC,11.8883,13.6605,JC,-47.023266463629945,,,21.633266807299893
JC,13.6605,15.1292,JC,-48.06788770195578,,,15.234559594303267
JC,15.8992,17.7807,JC,-45.381259350066486,,,16.04330123968335
JC,17.7807,19.298,JC,-49.32552297491776,,,14.316484938268559
JC,19.6318,20.6757,JC,-46.75886418269231,,,27.68203402748073
JC,21.1491,22.8121,JC,-50.38686582266566,,,15.334501442524992
JC,22.9699,24.0745,JC,-47.83423739346591,,,20.4499837571396
JC,24.1959,24.8392,JC,-49.43643569946289,,,17.556318551202132
JC,25.6594,28.0021,JC,-48.97040264423077,,,12.24039037765852
JC,28.0385,29.3131,JC,-45.78915092888779,,,13.174132907072451
JC,29.7015,31.2067,JC,-53.86174526593543,,,10.831383480705657
JC,31.6219,33.1392,JC,-52.71555368523849,,,22.037725794995282
JC,34.0904,36.3967,JC,-49.54565323998918,,,18.3888793564664
JC,36.858,38.3268,JC,-51.37357501594388,,,23.858349930158788
JC,38.8841,40.5228,JC,-48.749038324123475,,,20.74950853973716
JC,40.6321,42.8291,JC,-43.907776988636364,,,16.42885166677246
JC,42.8291,43.9702,JC,-52.13255550986842,,,16.42724002608879
JC,44.5889,45.7542,JC,-45.08725210336539,,,15.3350810664383
JC,45.8513,48.0484,JC,-46.35885564630682,,,16.90919020122432
JC,48.049,49.2993,JC,-50.17825390625,,,18.6486288082083
JC,50.064,50.586,JC,-48.03018423227164,,,21.329282339393426
JC,51.0473,51.7027,JC,-52.51305412523674,,,14.462593054760244
JC,51.8727,52.601,JC,-56.12671901755137,,,10.54894158814952
HY,0.0307,1.502,Meow,-52.98170107886905,,,13.948045747239401
HY,1.525,4.4491,Meow,-63.53589201626713,,,7.663337661758912
HY,5.0706,5.9422,Meow,-56.706862877155174,,,25.893750699756538
HY,6.5852,8.21,Meow,-60.23128858024691,,,25.6532871355259
HY,8.6141,10.8646,Meow,-57.26977430555556,,,23.22137932722164
HY,11.5512,12.3968,Meow,-61.423506433823526,,,8.788437137239152
HY,12.7283,13.2423,Meow,-64.29894301470588,,,19.646193646459622
HY,13.5904,14.3199,Meow,-65.5940509952911,,,18.63920450840911
HY,14.8218,16.5128,Meow,-57.966253698224854,,,12.226395350950119
HY,16.7532,18.3531,Meow,-57.4331787109375,,,21.081786259450702
HY,19.2184,19.5857,Meow,-56.11295792863176,,,21.33009763162177
HY,20.7133,23.6571,Meow,-58.225213913690474,,,25.475784041766666
HY,23.7927,24.6911,Meow,-66.23542209201389,,,13.470005366899592
